Gene stable ID,Gene stable ID version,Gene description,Gene name
ENSMUSG00000102847,ENSMUSG00000102847.1,"predicted gene, 34274 [Source:MGI Symbol;Acc:MGI:5593433]",Gm34274
ENSMUSG00000103773,ENSMUSG00000103773.1,"predicted gene, 34217 [Source:MGI Symbol;Acc:MGI:5593376]",Gm34217
ENSMUSG00000102347,ENSMUSG00000102347.1,"predicted gene, 21469 [Source:MGI Symbol;Acc:MGI:5434824]",Gm21469
ENSMUSG00000104480,ENSMUSG00000104480.1,"predicted gene, 21661 [Source:MGI Symbol;Acc:MGI:5435016]",Gm21661
ENSMUSG00000104062,ENSMUSG00000104062.5,"predicted gene, 37952 [Source:MGI Symbol;Acc:MGI:5611180]",Gm37952
ENSMUSG00000103231,ENSMUSG00000103231.1,"predicted gene, 21907 [Source:MGI Symbol;Acc:MGI:5434071]",Gm21907
ENSMUSG00000102318,ENSMUSG00000102318.1,"predicted gene, 37627 [Source:MGI Symbol;Acc:MGI:5610855]",Gm37627
ENSMUSG00000103074,ENSMUSG00000103074.1,"predicted gene, 20925 [Source:MGI Symbol;Acc:MGI:5434281]",Gm20925
ENSMUSG00000102965,ENSMUSG00000102965.1,"predicted gene, 20926 [Source:MGI Symbol;Acc:MGI:5434282]",Gm20926
ENSMUSG00000104289,ENSMUSG00000104289.5,"predicted gene, 37454 [Source:MGI Symbol;Acc:MGI:5610682]",Gm37454
ENSMUSG00000102730,ENSMUSG00000102730.1,"predicted gene, 38138 [Source:MGI Symbol;Acc:MGI:5611366]",Gm38138
ENSMUSG00000102529,ENSMUSG00000102529.1,"predicted gene, 29740 [Source:MGI Symbol;Acc:MGI:5588899]",Gm29740
ENSMUSG00000103589,ENSMUSG00000103589.5,"predicted gene, 37840 [Source:MGI Symbol;Acc:MGI:5611068]",Gm37840
ENSMUSG00000102396,ENSMUSG00000102396.1,"predicted gene, 37574 [Source:MGI Symbol;Acc:MGI:5610802]",Gm37574
ENSMUSG00000104247,ENSMUSG00000104247.1,"predicted gene, 21768 [Source:MGI Symbol;Acc:MGI:5433932]",Gm21768
ENSMUSG00000104255,ENSMUSG00000104255.1,"predicted gene, 37172 [Source:MGI Symbol;Acc:MGI:5610400]",Gm37172
ENSMUSG00000102598,ENSMUSG00000102598.1,"predicted gene, 35670 [Source:MGI Symbol;Acc:MGI:5594829]",Gm35670
ENSMUSG00000102402,ENSMUSG00000102402.1,"predicted gene, 20840 [Source:MGI Symbol;Acc:MGI:5434196]",Gm20840
ENSMUSG00000104228,ENSMUSG00000104228.1,"predicted gene, 35955 [Source:MGI Symbol;Acc:MGI:5595114]",Gm35955
ENSMUSG00000103029,ENSMUSG00000103029.5,"predicted gene, 37687 [Source:MGI Symbol;Acc:MGI:5610915]",Gm37687
ENSMUSG00000102239,ENSMUSG00000102239.1,"predicted gene, 38296 [Source:MGI Symbol;Acc:MGI:5611524]",Gm38296
ENSMUSG00000103153,ENSMUSG00000103153.1,"predicted gene, 38290 [Source:MGI Symbol;Acc:MGI:5611518]",Gm38290
ENSMUSG00000103086,ENSMUSG00000103086.1,"predicted gene, 38121 [Source:MGI Symbol;Acc:MGI:5611349]",Gm38121
ENSMUSG00000103327,ENSMUSG00000103327.1,"predicted gene, 36047 [Source:MGI Symbol;Acc:MGI:5595206]",Gm36047
ENSMUSG00000104500,ENSMUSG00000104500.5,"predicted gene, 36345 [Source:MGI Symbol;Acc:MGI:5595504]",Gm36345
ENSMUSG00000103236,ENSMUSG00000103236.1,"predicted gene, 37157 [Source:MGI Symbol;Acc:MGI:5610385]",Gm37157
ENSMUSG00000102911,ENSMUSG00000102911.1,"predicted gene, 38017 [Source:MGI Symbol;Acc:MGI:5611245]",Gm38017
ENSMUSG00000103008,ENSMUSG00000103008.1,"predicted gene, 36468 [Source:MGI Symbol;Acc:MGI:5595627]",Gm36468
ENSMUSG00000103058,ENSMUSG00000103058.1,"predicted gene, 21845 [Source:MGI Symbol;Acc:MGI:5434009]",Gm21845
ENSMUSG00000093868,ENSMUSG00000093868.2,"predicted gene, 20809 [Source:MGI Symbol;Acc:MGI:5434165]",Gm20809
ENSMUSG00000102350,ENSMUSG00000102350.5,"predicted gene, 37434 [Source:MGI Symbol;Acc:MGI:5610662]",Gm37434
ENSMUSG00000102993,ENSMUSG00000102993.1,"predicted gene, 37765 [Source:MGI Symbol;Acc:MGI:5610993]",Gm37765
ENSMUSG00000103311,ENSMUSG00000103311.1,"predicted gene, 38229 [Source:MGI Symbol;Acc:MGI:5611457]",Gm38229
ENSMUSG00000104070,ENSMUSG00000104070.1,"predicted gene, 36866 [Source:MGI Symbol;Acc:MGI:5596025]",Gm36866
ENSMUSG00000103615,ENSMUSG00000103615.5,"predicted gene, 30045 [Source:MGI Symbol;Acc:MGI:5589204]",Gm30045
ENSMUSG00000094911,ENSMUSG00000094911.1,"predicted gene, 21921 [Source:MGI Symbol;Acc:MGI:5434085]",Gm21921
ENSMUSG00000104431,ENSMUSG00000104431.1,"predicted gene, 37112 [Source:MGI Symbol;Acc:MGI:5610340]",Gm37112
ENSMUSG00000103758,ENSMUSG00000103758.1,"predicted gene, 37287 [Source:MGI Symbol;Acc:MGI:5610515]",Gm37287
ENSMUSG00000104146,ENSMUSG00000104146.1,"predicted gene, 30175 [Source:MGI Symbol;Acc:MGI:5589334]",Gm30175
ENSMUSG00000102507,ENSMUSG00000102507.1,"predicted gene, 21350 [Source:MGI Symbol;Acc:MGI:5434705]",Gm21350
ENSMUSG00000102358,ENSMUSG00000102358.1,"predicted gene, 21412 [Source:MGI Symbol;Acc:MGI:5434767]",Gm21412
ENSMUSG00000103977,ENSMUSG00000103977.5,"predicted gene, 37071 [Source:MGI Symbol;Acc:MGI:5610299]",Gm37071
ENSMUSG00000102643,ENSMUSG00000102643.1,"predicted gene, 37547 [Source:MGI Symbol;Acc:MGI:5610775]",Gm37547
ENSMUSG00000103064,ENSMUSG00000103064.1,"predicted gene, 36968 [Source:MGI Symbol;Acc:MGI:5610196]",Gm36968
ENSMUSG00000102842,ENSMUSG00000102842.1,"predicted gene, 38035 [Source:MGI Symbol;Acc:MGI:5611263]",Gm38035
ENSMUSG00000103714,ENSMUSG00000103714.1,"predicted gene, 20857 [Source:MGI Symbol;Acc:MGI:5434213]",Gm20857
ENSMUSG00000103660,ENSMUSG00000103660.5,"predicted gene, 30705 [Source:MGI Symbol;Acc:MGI:5589864]",Gm30705
ENSMUSG00000094939,ENSMUSG00000094939.1,"predicted gene, 21773 [Source:MGI Symbol;Acc:MGI:5433937]",Gm21773
ENSMUSG00000103982,ENSMUSG00000103982.1,"predicted gene, 37451 [Source:MGI Symbol;Acc:MGI:5610679]",Gm37451
ENSMUSG00000102328,ENSMUSG00000102328.1,"predicted gene, 37793 [Source:MGI Symbol;Acc:MGI:5611021]",Gm37793
ENSMUSG00000103487,ENSMUSG00000103487.1,"predicted gene, 30858 [Source:MGI Symbol;Acc:MGI:5590017]",Gm30858
ENSMUSG00000103639,ENSMUSG00000103639.1,"predicted gene, 21791 [Source:MGI Symbol;Acc:MGI:5433955]",Gm21791
ENSMUSG00000104085,ENSMUSG00000104085.1,"predicted gene, 21427 [Source:MGI Symbol;Acc:MGI:5434782]",Gm21427
ENSMUSG00000102576,ENSMUSG00000102576.5,"predicted gene, 37875 [Source:MGI Symbol;Acc:MGI:5611103]",Gm37875
ENSMUSG00000103372,ENSMUSG00000103372.1,"predicted gene, 37237 [Source:MGI Symbol;Acc:MGI:5610465]",Gm37237
ENSMUSG00000102354,ENSMUSG00000102354.1,"predicted gene, 38350 [Source:MGI Symbol;Acc:MGI:5611578]",Gm38350
ENSMUSG00000102906,ENSMUSG00000102906.1,"predicted gene, 20858 [Source:MGI Symbol;Acc:MGI:5434214]",Gm20858
ENSMUSG00000103813,ENSMUSG00000103813.5,"predicted gene, 31422 [Source:MGI Symbol;Acc:MGI:5590581]",Gm31422
ENSMUSG00000104412,ENSMUSG00000104412.1,"predicted gene, 37798 [Source:MGI Symbol;Acc:MGI:5611026]",Gm37798
ENSMUSG00000104321,ENSMUSG00000104321.1,"predicted gene, 37318 [Source:MGI Symbol;Acc:MGI:5610546]",Gm37318
ENSMUSG00000103892,ENSMUSG00000103892.1,"predicted gene, 31572 [Source:MGI Symbol;Acc:MGI:5590731]",Gm31572
ENSMUSG00000103969,ENSMUSG00000103969.1,"predicted gene, 21890 [Source:MGI Symbol;Acc:MGI:5434054]",Gm21890
ENSMUSG00000102339,ENSMUSG00000102339.1,"predicted gene, 21443 [Source:MGI Symbol;Acc:MGI:5434798]",Gm21443
ENSMUSG00000102977,ENSMUSG00000102977.5,"predicted gene, 37346 [Source:MGI Symbol;Acc:MGI:5610574]",Gm37346
ENSMUSG00000102547,ENSMUSG00000102547.1,"predicted gene, 38136 [Source:MGI Symbol;Acc:MGI:5611364]",Gm38136
ENSMUSG00000103675,ENSMUSG00000103675.1,"predicted gene, 37991 [Source:MGI Symbol;Acc:MGI:5611219]",Gm37991
ENSMUSG00000103842,ENSMUSG00000103842.1,"predicted gene, 37808 [Source:MGI Symbol;Acc:MGI:5611036]",Gm37808
ENSMUSG00000104024,ENSMUSG00000104024.1,"predicted gene, 33571 [Source:MGI Symbol;Acc:MGI:5592730]",Gm33571
ENSMUSG00000103462,ENSMUSG00000103462.5,"predicted gene, 32181 [Source:MGI Symbol;Acc:MGI:5591340]",Gm32181
ENSMUSG00000101467,ENSMUSG00000101467.1,predicted gene 28662 [Source:MGI Symbol;Acc:MGI:5579368],Gm28662
ENSMUSG00000101260,ENSMUSG00000101260.1,predicted gene 28780 [Source:MGI Symbol;Acc:MGI:5579486],Gm28780
ENSMUSG00000101105,ENSMUSG00000101105.1,"predicted gene, 21755 [Source:MGI Symbol;Acc:MGI:5433919]",Gm21755
ENSMUSG00000099346,ENSMUSG00000099346.1,"predicted gene, 20895 [Source:MGI Symbol;Acc:MGI:5434251]",Gm20895
ENSMUSG00000101513,ENSMUSG00000101513.6,predicted gene 28853 [Source:MGI Symbol;Acc:MGI:5579559],Gm28853
ENSMUSG00000101809,ENSMUSG00000101809.1,predicted gene 28852 [Source:MGI Symbol;Acc:MGI:5579558],Gm28852
ENSMUSG00000099841,ENSMUSG00000099841.1,predicted gene 28855 [Source:MGI Symbol;Acc:MGI:5579561],Gm28855
ENSMUSG00000099573,ENSMUSG00000099573.1,predicted gene 28854 [Source:MGI Symbol;Acc:MGI:5579560],Gm28854
ENSMUSG00000102104,ENSMUSG00000102104.1,predicted gene 28858 [Source:MGI Symbol;Acc:MGI:5579564],Gm28858
ENSMUSG00000100055,ENSMUSG00000100055.1,"predicted gene, 20890 [Source:MGI Symbol;Acc:MGI:5434246]",Gm20890
ENSMUSG00000101929,ENSMUSG00000101929.6,predicted gene 28245 [Source:MGI Symbol;Acc:MGI:5578951],Gm28245
ENSMUSG00000101971,ENSMUSG00000101971.1,predicted gene 28246 [Source:MGI Symbol;Acc:MGI:5578952],Gm28246
ENSMUSG00000101839,ENSMUSG00000101839.1,predicted gene 28247 [Source:MGI Symbol;Acc:MGI:5578953],Gm28247
ENSMUSG00000102010,ENSMUSG00000102010.1,predicted gene 28248 [Source:MGI Symbol;Acc:MGI:5578954],Gm28248
ENSMUSG00000101149,ENSMUSG00000101149.1,"predicted gene, 20892 [Source:MGI Symbol;Acc:MGI:5434248]",Gm20892
ENSMUSG00000101743,ENSMUSG00000101743.6,predicted gene 28249 [Source:MGI Symbol;Acc:MGI:5578955],Gm28249
ENSMUSG00000101311,ENSMUSG00000101311.1,predicted gene 28250 [Source:MGI Symbol;Acc:MGI:5578956],Gm28250
ENSMUSG00000100803,ENSMUSG00000100803.1,predicted gene 28251 [Source:MGI Symbol;Acc:MGI:5578957],Gm28251
ENSMUSG00000100873,ENSMUSG00000100873.1,predicted gene 28243 [Source:MGI Symbol;Acc:MGI:5578949],Gm28243
ENSMUSG00000101692,ENSMUSG00000101692.1,predicted gene 28244 [Source:MGI Symbol;Acc:MGI:5578950],Gm28244
ENSMUSG00000100464,ENSMUSG00000100464.1,"predicted gene, 21771 [Source:MGI Symbol;Acc:MGI:5433935]",Gm21771
ENSMUSG00000102015,ENSMUSG00000102015.1,"predicted gene, 21476 [Source:MGI Symbol;Acc:MGI:5434831]",Gm21476
ENSMUSG00000101198,ENSMUSG00000101198.6,predicted gene 29021 [Source:MGI Symbol;Acc:MGI:5579727],Gm29021
ENSMUSG00000099955,ENSMUSG00000099955.1,predicted gene 28880 [Source:MGI Symbol;Acc:MGI:5579586],Gm28880
ENSMUSG00000099873,ENSMUSG00000099873.1,predicted gene 28452 [Source:MGI Symbol;Acc:MGI:5579158],Gm28452
ENSMUSG00000099541,ENSMUSG00000099541.1,"predicted gene, 21488 [Source:MGI Symbol;Acc:MGI:5434843]",Gm21488
ENSMUSG00000101920,ENSMUSG00000101920.6,predicted gene 28454 [Source:MGI Symbol;Acc:MGI:5579160],Gm28454
ENSMUSG00000099430,ENSMUSG00000099430.1,predicted gene 28878 [Source:MGI Symbol;Acc:MGI:5579584],Gm28878
ENSMUSG00000100099,ENSMUSG00000100099.1,predicted gene 28879 [Source:MGI Symbol;Acc:MGI:5579585],Gm28879
ENSMUSG00000100495,ENSMUSG00000100495.1,predicted gene 29369 [Source:MGI Symbol;Acc:MGI:5580075],Gm29369
ENSMUSG00000100413,ENSMUSG00000100413.1,"predicted gene, 21506 [Source:MGI Symbol;Acc:MGI:5434861]",Gm21506
ENSMUSG00000100570,ENSMUSG00000100570.6,predicted gene 29399 [Source:MGI Symbol;Acc:MGI:5580105],Gm29399
ENSMUSG00000101863,ENSMUSG00000101863.1,predicted gene 29400 [Source:MGI Symbol;Acc:MGI:5580106],Gm29400
ENSMUSG00000099727,ENSMUSG00000099727.1,predicted gene 29401 [Source:MGI Symbol;Acc:MGI:5580107],Gm29401
ENSMUSG00000099791,ENSMUSG00000099791.1,"predicted gene, 20891 [Source:MGI Symbol;Acc:MGI:5434247]",Gm20891
ENSMUSG00000101473,ENSMUSG00000101473.1,"predicted gene, 20893 [Source:MGI Symbol;Acc:MGI:5434249]",Gm20893
ENSMUSG00000101753,ENSMUSG00000101753.1,predicted gene 28799 [Source:MGI Symbol;Acc:MGI:5579505],Gm28799
ENSMUSG00000101484,ENSMUSG00000101484.1,predicted gene 28798 [Source:MGI Symbol;Acc:MGI:5579504],Gm28798
ENSMUSG00000100587,ENSMUSG00000100587.1,predicted gene 28797 [Source:MGI Symbol;Acc:MGI:5579503],Gm28797
ENSMUSG00000099828,ENSMUSG00000099828.1,predicted gene 28796 [Source:MGI Symbol;Acc:MGI:5579502],Gm28796
ENSMUSG00000101158,ENSMUSG00000101158.1,"predicted gene, 20894 [Source:MGI Symbol;Acc:MGI:5434250]",Gm20894
ENSMUSG00000099537,ENSMUSG00000099537.6,predicted gene 28938 [Source:MGI Symbol;Acc:MGI:5579644],Gm28938
ENSMUSG00000101669,ENSMUSG00000101669.1,predicted gene 28937 [Source:MGI Symbol;Acc:MGI:5579643],Gm28937
ENSMUSG00000099862,ENSMUSG00000099862.1,predicted gene 28936 [Source:MGI Symbol;Acc:MGI:5579642],Gm28936
ENSMUSG00000101908,ENSMUSG00000101908.1,"predicted gene, 21642 [Source:MGI Symbol;Acc:MGI:5434997]",Gm21642
ENSMUSG00000100473,ENSMUSG00000100473.1,"predicted gene, 21804 [Source:MGI Symbol;Acc:MGI:5433968]",Gm21804
ENSMUSG00000101192,ENSMUSG00000101192.6,predicted gene 29122 [Source:MGI Symbol;Acc:MGI:5579828],Gm29122
ENSMUSG00000101607,ENSMUSG00000101607.1,predicted gene 28939 [Source:MGI Symbol;Acc:MGI:5579645],Gm28939
ENSMUSG00000101418,ENSMUSG00000101418.1,predicted gene 28983 [Source:MGI Symbol;Acc:MGI:5579689],Gm28983
ENSMUSG00000099431,ENSMUSG00000099431.1,predicted gene 28985 [Source:MGI Symbol;Acc:MGI:5579691],Gm28985
ENSMUSG00000101837,ENSMUSG00000101837.1,"predicted gene, 20810 [Source:MGI Symbol;Acc:MGI:5434166]",Gm20810
ENSMUSG00000100233,ENSMUSG00000100233.1,"predicted gene, 20811 [Source:MGI Symbol;Acc:MGI:5434167]",Gm20811
ENSMUSG00000100859,ENSMUSG00000100859.6,predicted gene 28725 [Source:MGI Symbol;Acc:MGI:5579431],Gm28725
ENSMUSG00000099653,ENSMUSG00000099653.1,predicted gene 28984 [Source:MGI Symbol;Acc:MGI:5579690],Gm28984
ENSMUSG00000100875,ENSMUSG00000100875.6,predicted gene 28987 [Source:MGI Symbol;Acc:MGI:5579693],Gm28987
ENSMUSG00000100117,ENSMUSG00000100117.1,predicted gene 28986 [Source:MGI Symbol;Acc:MGI:5579692],Gm28986
ENSMUSG00000101305,ENSMUSG00000101305.1,predicted gene 29171 [Source:MGI Symbol;Acc:MGI:5579877],Gm29171
ENSMUSG00000099650,ENSMUSG00000099650.6,predicted gene 28129 [Source:MGI Symbol;Acc:MGI:5578835],Gm28129
ENSMUSG00000101560,ENSMUSG00000101560.6,predicted gene 28127 [Source:MGI Symbol;Acc:MGI:5578833],Gm28127
ENSMUSG00000101954,ENSMUSG00000101954.1,predicted gene 28128 [Source:MGI Symbol;Acc:MGI:5578834],Gm28128
ENSMUSG00000096538,ENSMUSG00000096538.2,"predicted gene, 21853 [Source:MGI Symbol;Acc:MGI:5434017]",Gm21853
ENSMUSG00000099348,ENSMUSG00000099348.1,predicted gene 28132 [Source:MGI Symbol;Acc:MGI:5578838],Gm28132
ENSMUSG00000099380,ENSMUSG00000099380.6,predicted gene 28130 [Source:MGI Symbol;Acc:MGI:5578836],Gm28130
ENSMUSG00000101412,ENSMUSG00000101412.6,predicted gene 28131 [Source:MGI Symbol;Acc:MGI:5578837],Gm28131
ENSMUSG00000118461,ENSMUSG00000118461.1,"predicted gene, 21679 [Source:MGI Symbol;Acc:MGI:5435034]",Gm21679
ENSMUSG00000099817,ENSMUSG00000099817.1,predicted gene 29317 [Source:MGI Symbol;Acc:MGI:5580023],Gm29317
ENSMUSG00000099880,ENSMUSG00000099880.1,predicted gene 29316 [Source:MGI Symbol;Acc:MGI:5580022],Gm29316
ENSMUSG00000101642,ENSMUSG00000101642.6,predicted gene 29315 [Source:MGI Symbol;Acc:MGI:5580021],Gm29315
ENSMUSG00000101719,ENSMUSG00000101719.1,predicted gene 28216 [Source:MGI Symbol;Acc:MGI:5578922],Gm28216
ENSMUSG00000100896,ENSMUSG00000100896.1,predicted gene 28217 [Source:MGI Symbol;Acc:MGI:5578923],Gm28217
ENSMUSG00000099347,ENSMUSG00000099347.1,predicted gene 28093 [Source:MGI Symbol;Acc:MGI:5578799],Gm28093
ENSMUSG00000101379,ENSMUSG00000101379.1,predicted gene 28092 [Source:MGI Symbol;Acc:MGI:5578798],Gm28092
ENSMUSG00000100565,ENSMUSG00000100565.6,predicted gene 28091 [Source:MGI Symbol;Acc:MGI:5578797],Gm28091
ENSMUSG00000101489,ENSMUSG00000101489.1,predicted gene 28090 [Source:MGI Symbol;Acc:MGI:5578796],Gm28090
ENSMUSG00000100038,ENSMUSG00000100038.1,predicted gene 29580 [Source:MGI Symbol;Acc:MGI:5580286],Gm29580
ENSMUSG00000100415,ENSMUSG00000100415.6,predicted gene 28089 [Source:MGI Symbol;Acc:MGI:5578795],Gm28089
ENSMUSG00000101775,ENSMUSG00000101775.6,predicted gene 28088 [Source:MGI Symbol;Acc:MGI:5578794],Gm28088
ENSMUSG00000100321,ENSMUSG00000100321.1,predicted gene 29579 [Source:MGI Symbol;Acc:MGI:5580285],Gm29579
ENSMUSG00000100467,ENSMUSG00000100467.1,predicted gene 29582 [Source:MGI Symbol;Acc:MGI:5580288],Gm29582
ENSMUSG00000095192,ENSMUSG00000095192.2,"predicted gene, 21529 [Source:MGI Symbol;Acc:MGI:5434884]",Gm21529
ENSMUSG00000100311,ENSMUSG00000100311.6,predicted gene 29581 [Source:MGI Symbol;Acc:MGI:5580287],Gm29581
ENSMUSG00000094232,ENSMUSG00000094232.2,"predicted gene, 21539 [Source:MGI Symbol;Acc:MGI:5434894]",Gm21539
ENSMUSG00000099990,ENSMUSG00000099990.6,predicted gene 29578 [Source:MGI Symbol;Acc:MGI:5580284],Gm29578
ENSMUSG00000101527,ENSMUSG00000101527.1,"predicted gene, 21908 [Source:MGI Symbol;Acc:MGI:5434072]",Gm21908
ENSMUSG00000096698,ENSMUSG00000096698.2,"predicted gene, 21780 [Source:MGI Symbol;Acc:MGI:5433944]",Gm21780
ENSMUSG00000099855,ENSMUSG00000099855.6,predicted gene 28486 [Source:MGI Symbol;Acc:MGI:5579192],Gm28486
ENSMUSG00000094623,ENSMUSG00000094623.2,"predicted gene, 21737 [Source:MGI Symbol;Acc:MGI:5433901]",Gm21737
ENSMUSG00000100928,ENSMUSG00000100928.6,predicted gene 28487 [Source:MGI Symbol;Acc:MGI:5579193],Gm28487
ENSMUSG00000100384,ENSMUSG00000100384.1,predicted gene 28489 [Source:MGI Symbol;Acc:MGI:5579195],Gm28489
ENSMUSG00000099695,ENSMUSG00000099695.6,predicted gene 28488 [Source:MGI Symbol;Acc:MGI:5579194],Gm28488
ENSMUSG00000100399,ENSMUSG00000100399.6,predicted gene 28491 [Source:MGI Symbol;Acc:MGI:5579197],Gm28491
ENSMUSG00000094789,ENSMUSG00000094789.7,predicted gene 28490 [Source:MGI Symbol;Acc:MGI:5579196],Gm28490
ENSMUSG00000094444,ENSMUSG00000094444.2,"predicted gene, 21562 [Source:MGI Symbol;Acc:MGI:5434917]",Gm21562
ENSMUSG00000101423,ENSMUSG00000101423.6,predicted gene 28298 [Source:MGI Symbol;Acc:MGI:5579004],Gm28298
ENSMUSG00000095626,ENSMUSG00000095626.2,"predicted gene, 21572 [Source:MGI Symbol;Acc:MGI:5434927]",Gm21572
ENSMUSG00000101761,ENSMUSG00000101761.6,predicted gene 28297 [Source:MGI Symbol;Acc:MGI:5579003],Gm28297
ENSMUSG00000099493,ENSMUSG00000099493.1,"predicted gene, 21753 [Source:MGI Symbol;Acc:MGI:5433917]",Gm21753
ENSMUSG00000096777,ENSMUSG00000096777.2,"predicted gene, 21723 [Source:MGI Symbol;Acc:MGI:5433887]",Gm21723
ENSMUSG00000100739,ENSMUSG00000100739.6,predicted gene 28296 [Source:MGI Symbol;Acc:MGI:5579002],Gm28296
ENSMUSG00000095345,ENSMUSG00000095345.2,"predicted gene, 21821 [Source:MGI Symbol;Acc:MGI:5433985]",Gm21821
ENSMUSG00000100709,ENSMUSG00000100709.6,predicted gene 28295 [Source:MGI Symbol;Acc:MGI:5579001],Gm28295
ENSMUSG00000095968,ENSMUSG00000095968.2,"predicted gene, 21842 [Source:MGI Symbol;Acc:MGI:5434006]",Gm21842
ENSMUSG00000101779,ENSMUSG00000101779.6,predicted gene 28170 [Source:MGI Symbol;Acc:MGI:5578876],Gm28170
ENSMUSG00000094529,ENSMUSG00000094529.2,"predicted gene, 21744 [Source:MGI Symbol;Acc:MGI:5433908]",Gm21744
ENSMUSG00000101745,ENSMUSG00000101745.6,predicted gene 28764 [Source:MGI Symbol;Acc:MGI:5579470],Gm28764
ENSMUSG00000100957,ENSMUSG00000100957.6,predicted gene 28762 [Source:MGI Symbol;Acc:MGI:5579468],Gm28762
ENSMUSG00000099756,ENSMUSG00000099756.1,predicted gene 28763 [Source:MGI Symbol;Acc:MGI:5579469],Gm28763
ENSMUSG00000095263,ENSMUSG00000095263.7,"predicted gene, 21094 [Source:MGI Symbol;Acc:MGI:5434449]",Gm21094
ENSMUSG00000096272,ENSMUSG00000096272.2,"predicted gene, 21588 [Source:MGI Symbol;Acc:MGI:5434943]",Gm21588
ENSMUSG00000099426,ENSMUSG00000099426.6,predicted gene 28761 [Source:MGI Symbol;Acc:MGI:5579467],Gm28761
ENSMUSG00000096711,ENSMUSG00000096711.2,"predicted gene, 21599 [Source:MGI Symbol;Acc:MGI:5434954]",Gm21599
ENSMUSG00000101728,ENSMUSG00000101728.6,predicted gene 28765 [Source:MGI Symbol;Acc:MGI:5579471],Gm28765
ENSMUSG00000100509,ENSMUSG00000100509.1,"predicted gene, 21810 [Source:MGI Symbol;Acc:MGI:5433974]",Gm21810
ENSMUSG00000095553,ENSMUSG00000095553.2,"predicted gene, 21916 [Source:MGI Symbol;Acc:MGI:5434080]",Gm21916
ENSMUSG00000101099,ENSMUSG00000101099.6,predicted gene 29191 [Source:MGI Symbol;Acc:MGI:5579897],Gm29191
ENSMUSG00000095049,ENSMUSG00000095049.2,"predicted gene, 21756 [Source:MGI Symbol;Acc:MGI:5433920]",Gm21756
ENSMUSG00000101601,ENSMUSG00000101601.1,predicted gene 28210 [Source:MGI Symbol;Acc:MGI:5578916],Gm28210
ENSMUSG00000101516,ENSMUSG00000101516.6,predicted gene 29074 [Source:MGI Symbol;Acc:MGI:5579780],Gm29074
ENSMUSG00000101359,ENSMUSG00000101359.1,predicted gene 28211 [Source:MGI Symbol;Acc:MGI:5578917],Gm28211
ENSMUSG00000100790,ENSMUSG00000100790.6,predicted gene 28518 [Source:MGI Symbol;Acc:MGI:5579224],Gm28518
ENSMUSG00000101302,ENSMUSG00000101302.6,predicted gene 28519 [Source:MGI Symbol;Acc:MGI:5579225],Gm28519
ENSMUSG00000102125,ENSMUSG00000102125.6,predicted gene 28520 [Source:MGI Symbol;Acc:MGI:5579226],Gm28520
ENSMUSG00000095011,ENSMUSG00000095011.7,"predicted gene, 20838 [Source:MGI Symbol;Acc:MGI:5434194]",Gm20838
ENSMUSG00000094064,ENSMUSG00000094064.2,"predicted gene, 21626 [Source:MGI Symbol;Acc:MGI:5434981]",Gm21626
ENSMUSG00000099461,ENSMUSG00000099461.6,predicted gene 28521 [Source:MGI Symbol;Acc:MGI:5579227],Gm28521
ENSMUSG00000096532,ENSMUSG00000096532.2,"predicted gene, 21633 [Source:MGI Symbol;Acc:MGI:5434988]",Gm21633
ENSMUSG00000101681,ENSMUSG00000101681.6,predicted gene 28522 [Source:MGI Symbol;Acc:MGI:5579228],Gm28522
ENSMUSG00000101870,ENSMUSG00000101870.1,"predicted gene, 21745 [Source:MGI Symbol;Acc:MGI:5433909]",Gm21745
ENSMUSG00000101472,ENSMUSG00000101472.1,predicted gene 28517 [Source:MGI Symbol;Acc:MGI:5579223],Gm28517
ENSMUSG00000101407,ENSMUSG00000101407.6,predicted gene 29532 [Source:MGI Symbol;Acc:MGI:5580238],Gm29532
ENSMUSG00000099500,ENSMUSG00000099500.1,predicted gene 29531 [Source:MGI Symbol;Acc:MGI:5580237],Gm29531
ENSMUSG00000100097,ENSMUSG00000100097.6,predicted gene 28464 [Source:MGI Symbol;Acc:MGI:5579170],Gm28464
ENSMUSG00000101474,ENSMUSG00000101474.1,predicted gene 29656 [Source:MGI Symbol;Acc:MGI:5580362],Gm29656
ENSMUSG00000099737,ENSMUSG00000099737.6,predicted gene 29655 [Source:MGI Symbol;Acc:MGI:5580361],Gm29655
ENSMUSG00000101417,ENSMUSG00000101417.1,"predicted gene, 21647 [Source:MGI Symbol;Acc:MGI:5435002]",Gm21647
ENSMUSG00000101654,ENSMUSG00000101654.1,predicted gene 29653 [Source:MGI Symbol;Acc:MGI:5580359],Gm29653
ENSMUSG00000101808,ENSMUSG00000101808.1,predicted gene 29654 [Source:MGI Symbol;Acc:MGI:5580360],Gm29654
ENSMUSG00000099910,ENSMUSG00000099910.1,predicted gene 29651 [Source:MGI Symbol;Acc:MGI:5580357],Gm29651
ENSMUSG00000099818,ENSMUSG00000099818.1,predicted gene 29652 [Source:MGI Symbol;Acc:MGI:5580358],Gm29652
ENSMUSG00000100500,ENSMUSG00000100500.1,predicted gene 29080 [Source:MGI Symbol;Acc:MGI:5579786],Gm29080
